
Senin, 4 Juli 2022 10.50.03 WIB-Error send whatsapp message to llxs
[Senin, 4 Juli 2022 10.51.22 WIB]:	Error send whatsapp message to xxx
[Senin, 4 Juli 2022 11.01.21 WIB]:	Error send whatsapp message to 6287803824644
[Senin, 4 Juli 2022 11.03.11 WIB]:	Error send whatsapp message to 6287803824644	[Request failed with status code 500]
[Senin, 4 Juli 2022 11.06.34 WIB]:	Error send whatsapp message to 6287803824644	[your package T98ZAG is expired]
[Rabu, 6 Juli 2022 11.23.34 WIB]:	Success send whatsapp message to 629292929	[Message is pending and waiting to be processed]
[Kamis, 7 Juli 2022 20.43.10 WIB]:	Success send whatsapp message to 111	[Message is pending and waiting to be processed]
[Kamis, 7 Juli 2022 20.51.02 WIB]:	Success send whatsapp message to 111	[Message is pending and waiting to be processed]
[Jumat, 8 Juli 2022 10.06.12 WIB]:	Success send whatsapp message to 123	[Message is pending and waiting to be processed]
[Jumat, 8 Juli 2022 17.24.50 WIB]:	Success send whatsapp message to 6287803824644	[undefined]
[Jumat, 8 Juli 2022 17.27.16 WIB]:	Success send whatsapp message to 6287803824644	[undefined]
[Jumat, 8 Juli 2022 17.29.54 WIB]:	Success send whatsapp message to 6287803824644	[undefined]
[Jumat, 8 Juli 2022 17.33.07 WIB]:	Success send whatsapp message to 6287803824644	[undefined]
